time,type,component,group
2,h,0.023724676,Environment
2,i,0.021873855,Environment
2,n,0.006869346,Environment
2,h,0.000825437,Environment
2,i,-0.007547549,Environment
2,n,0.001040385,Environment
2,h,0.059122445,Environment
2,i,-0.0038778,Environment
2,n,-0.008161648,Environment
3,h,0.072951625,Environment
3,i,0.037012334,Environment
3,n,0.057665815,Environment
3,h,0.004824698,Environment
3,i,-0.012952895,Environment
3,n,-0.008744705,Environment
3,h,-0.006725559,Environment
3,i,0.015159162,Environment
3,n,-0.000629652,Environment
4,h,0.026554811,Environment
4,i,0.037159377,Environment
4,n,0.014183299,Environment
4,h,-0.0001025,Environment
4,i,0.044548036,Environment
4,n,-0.005419822,Environment
5,h,0.081795386,Environment
5,i,0.065447279,Environment
5,n,0.001931082,Environment
5,h,0.016422697,Environment
5,i,0.036125342,Environment
5,n,-0.006772564,Environment
6,h,0.139571479,Environment
6,i,0.185504603,Environment
6,n,0.157661907,Environment
6,h,0.120603608,Environment
6,i,0.163849329,Environment
6,n,0.111880417,Environment
6,h,0.004954572,Environment
6,i,0.086437348,Environment
6,n,0.022727737,Environment
3,h,0.15114368,Didinium
3,i,0.37564701,Didinium
3,n,0.18026245,Didinium
3,h,0.20984345,Didinium
3,i,0.02399522,Didinium
3,n,0.21756138,Didinium
3,h,0.06240883,Didinium
3,i,0.1397246,Didinium
3,n,0.23723773,Didinium
4,h,0.09749888,Didinium
4,i,0.22110006,Didinium
4,n,0.31697658,Didinium
4,h,0.05082427,Didinium
4,i,0.14371477,Didinium
4,n,0.29098963,Didinium
5,h,0.01755888,Didinium
5,i,0.07127719,Didinium
5,n,0.4017823,Didinium
5,h,0.04974435,Didinium
5,i,0.05435456,Didinium
5,n,0.17395775,Didinium
6,h,0.13405535,Didinium
6,i,0.16775592,Didinium
6,n,0.24160213,Didinium
6,h,0.14343086,Didinium
6,i,0.09951539,Didinium
6,n,0.31398891,Didinium
6,h,0.02619005,Didinium
6,i,0.18745512,Didinium
6,n,0.28531107,Didinium
2,h,-0.013535662,Space
2,i,0.092584498,Space
2,n,-0.025669285,Space
2,h,0.019604162,Space
2,i,-0.117116435,Space
2,n,0.166783227,Space
2,h,0.16793907,Space
2,i,0.295951787,Space
2,n,0.374850934,Space
3,h,-0.089596806,Space
3,i,0.136359981,Space
3,n,0.066559597,Space
3,h,0.267802856,Space
3,i,-0.094854347,Space
3,n,0.164898254,Space
3,h,0.128007242,Space
3,i,0.046640804,Space
3,n,0.240981308,Space
4,h,0.266481315,Space
4,i,-0.010909196,Space
4,n,0.058073693,Space
4,h,0.104839153,Space
4,i,0.158644146,Space
4,n,0.088174513,Space
5,h,0.162298669,Space
5,i,0.010779542,Space
5,n,0.098436521,Space
5,h,0.03170459,Space
5,i,0.031754459,Space
5,n,0.179798931,Space
6,h,-0.049368343,Space
6,i,0.179418476,Space
6,n,0.029210952,Space
6,h,0.165822114,Space
6,i,0.06770648,Space
6,n,0.067409758,Space
6,h,0.108130035,Space
6,i,-0.039442134,Space
6,n,0.175049256,Space
2,h,0.0283149,1-Residuals
2,i,0.0939675,1-Residuals
2,n,-0.0067151,1-Residuals
2,h,0.0292827,1-Residuals
2,i,-0.0914742,1-Residuals
2,n,0.1476448,1-Residuals
2,h,0.2009161,1-Residuals
2,i,0.2381021,1-Residuals
2,n,0.2959893,1-Residuals
3,h,0.0877784,1-Residuals
3,i,0.3647371,1-Residuals
3,n,0.2353946,1-Residuals
3,h,0.3474884,1-Residuals
3,i,-0.0343903,1-Residuals
3,n,0.3252405,1-Residuals
3,h,0.2115695,1-Residuals
3,i,0.3075017,1-Residuals
3,n,0.5639009,1-Residuals
4,h,0.4354541,1-Residuals
4,i,0.3914495,1-Residuals
4,n,0.376331,1-Residuals
4,h,0.238055,1-Residuals
4,i,0.3774346,1-Residuals
4,n,0.4943691,1-Residuals
5,h,0.3140854,1-Residuals
5,i,0.3373302,1-Residuals
5,n,0.4244307,1-Residuals
5,h,0.1758789,1-Residuals
5,i,0.1884698,1-Residuals
5,n,0.5052266,1-Residuals
6,h,0.4333201,1-Residuals
6,i,0.537066,1-Residuals
6,n,0.5751333,1-Residuals
6,h,0.3796306,1-Residuals
6,i,0.7014028,1-Residuals
6,n,0.5142154,1-Residuals
6,h,0.1514642,1-Residuals
6,i,0.358561,1-Residuals
6,n,0.4301585,1-Residuals
